X,Y,Nedbor,Month
1.0,0.5,66.0,1.0
1.0,0.5,55.0,2.0
1.0,0.5,76.0,3.0
1.0,0.5,58.0,4.0
1.0,0.5,53.0,5.0
1.0,0.5,41.0,6.0
1.0,0.5,78.0,7.0
1.0,0.5,73.0,8.0
1.0,0.5,66.0,9.0
1.0,0.5,76.0,10.0
1.0,0.5,95.0,11.0
1.0,0.5,129.0,12.0
1.0,8.0,93.0,1.0
1.0,8.0,112.0,2.0
1.0,8.0,89.0,3.0
1.0,8.0,83.0,4.0
1.0,8.0,72.0,5.0
1.0,8.0,64.0,6.0
1.0,8.0,95.0,7.0
1.0,8.0,96.0,8.0
1.0,8.0,150.0,9.0
1.0,8.0,105.0,10.0
1.0,8.0,142.0,11.0
1.0,8.0,202.0,12.0
2.0,2.0,107.0,1.0
2.0,2.0,114.0,2.0
2.0,2.0,95.0,3.0
2.0,2.0,73.0,4.0
2.0,2.0,65.0,5.0
2.0,2.0,107.0,6.0
2.0,2.0,142.0,7.0
2.0,2.0,115.0,8.0
2.0,2.0,111.0,9.0
2.0,2.0,140.0,10.0
2.0,2.0,136.0,11.0
2.0,2.0,173.0,12.0
2.0,9.0,144.0,1.0
2.0,9.0,105.0,2.0
2.0,9.0,123.0,3.0
2.0,9.0,89.0,4.0
2.0,9.0,79.0,5.0
2.0,9.0,103.0,6.0
2.0,9.0,125.0,7.0
2.0,9.0,117.0,8.0
2.0,9.0,131.0,9.0
2.0,9.0,126.0,10.0
2.0,9.0,154.0,11.0
2.0,9.0,231.0,12.0
3.0,1.0,107.0,1.0
3.0,1.0,110.0,2.0
3.0,1.0,116.0,3.0
3.0,1.0,62.0,4.0
3.0,1.0,59.0,5.0
3.0,1.0,81.0,6.0
3.0,1.0,89.0,7.0
3.0,1.0,77.0,8.0
3.0,1.0,105.0,9.0
3.0,1.0,95.0,10.0
3.0,1.0,137.0,11.0
3.0,1.0,217.0,12.0
5.0,2.0,92.0,1.0
5.0,2.0,130.0,2.0
5.0,2.0,150.0,3.0
5.0,2.0,109.0,4.0
5.0,2.0,66.0,5.0
5.0,2.0,94.0,6.0
5.0,2.0,114.0,7.0
5.0,2.0,154.0,8.0
5.0,2.0,164.0,9.0
5.0,2.0,116.0,10.0
5.0,2.0,150.0,11.0
5.0,2.0,204.0,12.0
6.0,1.0,103.0,1.0
6.0,1.0,97.0,2.0
6.0,1.0,137.0,3.0
6.0,1.0,96.0,4.0
6.0,1.0,86.0,5.0
6.0,1.0,99.0,6.0
6.0,1.0,154.0,7.0
6.0,1.0,113.0,8.0
6.0,1.0,122.0,9.0
6.0,1.0,157.0,10.0
6.0,1.0,176.0,11.0
6.0,1.0,287.0,12.0
6.0,7.0,114.0,1.0
6.0,7.0,129.0,2.0
6.0,7.0,140.0,3.0
6.0,7.0,101.0,4.0
6.0,7.0,85.0,5.0
6.0,7.0,84.0,6.0
6.0,7.0,142.0,7.0
6.0,7.0,131.0,8.0
6.0,7.0,157.0,9.0
6.0,7.0,157.0,10.0
6.0,7.0,187.0,11.0
6.0,7.0,214.0,12.0
7.0,5.0,151.0,1.0
7.0,5.0,201.0,2.0
7.0,5.0,183.0,3.0
7.0,5.0,127.0,4.0
7.0,5.0,119.0,5.0
7.0,5.0,117.0,6.0
7.0,5.0,191.0,7.0
7.0,5.0,196.0,8.0
7.0,5.0,211.0,9.0
7.0,5.0,222.0,10.0
7.0,5.0,311.0,11.0
7.0,5.0,382.0,12.0
8.0,6.0,195.0,1.0
8.0,6.0,154.0,2.0
8.0,6.0,234.0,3.0
8.0,6.0,142.0,4.0
8.0,6.0,146.0,5.0
8.0,6.0,120.0,6.0
8.0,6.0,210.0,7.0
8.0,6.0,182.0,8.0
8.0,6.0,275.0,9.0
8.0,6.0,242.0,10.0
8.0,6.0,289.0,11.0
8.0,6.0,403.0,12.0
9.0,5.0,260.0,1.0
9.0,5.0,200.0,2.0
9.0,5.0,233.0,3.0
9.0,5.0,225.0,4.0
9.0,5.0,142.0,5.0
9.0,5.0,184.0,6.0
9.0,5.0,239.0,7.0
9.0,5.0,303.0,8.0
9.0,5.0,261.0,9.0
9.0,5.0,336.0,10.0
9.0,5.0,310.0,11.0
9.0,5.0,398.0,12.0
10.0,0.5,128.0,1.0
10.0,0.5,192.0,2.0
10.0,0.5,177.0,3.0
10.0,0.5,134.0,4.0
10.0,0.5,120.0,5.0
10.0,0.5,135.0,6.0
10.0,0.5,151.0,7.0
10.0,0.5,288.0,8.0
10.0,0.5,332.0,9.0
10.0,0.5,193.0,10.0
10.0,0.5,191.0,11.0
10.0,0.5,178.0,12.0
10.0,2.0,204.0,1.0
10.0,2.0,220.0,2.0
10.0,2.0,154.0,3.0
10.0,2.0,143.0,4.0
10.0,2.0,113.0,5.0
10.0,2.0,173.0,6.0
10.0,2.0,206.0,7.0
10.0,2.0,399.0,8.0
10.0,2.0,311.0,9.0
10.0,2.0,307.0,10.0
10.0,2.0,210.0,11.0
10.0,2.0,189.0,12.0
11.0,9.0,211.0,1.0
11.0,9.0,156.0,2.0
11.0,9.0,209.0,3.0
11.0,9.0,167.0,4.0
11.0,9.0,184.0,5.0
11.0,9.0,206.0,6.0
11.0,9.0,231.0,7.0
11.0,9.0,391.0,8.0
11.0,9.0,318.0,9.0
11.0,9.0,365.0,10.0
11.0,9.0,248.0,11.0
11.0,9.0,207.0,12.0
12.0,1.5,206.0,1.0
12.0,1.5,168.0,2.0
12.0,1.5,173.0,3.0
12.0,1.5,143.0,4.0
12.0,1.5,116.0,5.0
12.0,1.5,183.0,6.0
12.0,1.5,190.0,7.0
12.0,1.5,292.0,8.0
12.0,1.5,382.0,9.0
12.0,1.5,262.0,10.0
12.0,1.5,243.0,11.0
12.0,1.5,211.0,12.0
12.0,5.0,361.0,1.0
12.0,5.0,295.0,2.0
12.0,5.0,260.0,3.0
12.0,5.0,328.0,4.0
12.0,5.0,298.0,5.0
12.0,5.0,386.0,6.0
12.0,5.0,376.0,7.0
12.0,5.0,499.0,8.0
12.0,5.0,499.0,9.0
12.0,5.0,499.0,10.0
12.0,5.0,373.0,11.0
12.0,5.0,410.0,12.0
